sentiment,Preprocessed_Text
0,oh ya the water heater during the day did not work
0,the attitude of the staff at the front desk is very bad
0,coffee wa horrible the parking entrance and exit were all in a single lane some of the switch in the room were not working take the higher floor if possible
0,the aircon wa not working in the room
0,parking are not easily available
0,aircondition wa too cold
0,there wa alot of black spot thingy in the underwater not sure if it is algae or just dust
0,tv in the room only offer limited channel no netflix supported
0,the shower room is not handled well there is water overflow
0,the air conditioning is too cold very uncomfortable
0,the temperature of the bath water is very difficult to control very hot
0,the house price is so high since i have not even given breakfast
0,when i wa setting the hotel i saw the bag breakfast and i told that there wa no breakfast when i stayed
0,said that there is breakfast come to the counter and say there is no bag
0,the quality of toilet paper is too poor
0,the parking space is not enough
0,every time the bathroom ha something bad
0,the hot water of the water heater is not hot enough
0,staff is le friendly
0,the room ha a bad smell
0,crowded
0,the entry time ha to wait long because the room ha not been packed
0,the air conditioner ha a little noise
0,there are stain on the sheet
0,the toilet is stinky and the cleaning agent is more uncomfortable after a large amount of fresh agent
0,employee are relatively scattered and indifferent
0,the sound insulation equipment is not good you can hear the sound of driving downstairs in the middle of the night you can hear the sound of the memor church chanting at of the clock in the morning
0,breakfast is poor selection is limited
0,there is only one trash can in the entire room which is difficult to understand
0,the carpet is not very clean
0,the room is moldy old inside and poor comfort
0,although not far from the train station it take more than minute by car which is very inconvenient
0,the room is small
0,the air conditioner is not cold
0,next to the construction site it is very noisy during the day and the noise is great
0,the facility in the room are a little old
0,vegetarian breakfast ha no choice
0,there are flea
0,there were few type of breakfast buffet and there wa not much to eat
0,there wa only a toilet paper on the way and i wa very troubled breakfast wa also disappointing
0,the pillow is not too comfortable it is too flat
0,some wrote that the transportation wa bad
0,it wa brown when i stored water in the bathtub
0,the nearest station wa far away and i felt a little inconvenient for sightseeing
0,inadequate room equipment dryer coffee maker
0,i heard the sound of other room it doe not seem to have much soundproof
0,staff can not speak in bahasa malaysia
0,in the light room is a lot of damaged
0,a little noisy if the next room brings the child
0,wifi is not fast
0,insufficient swimming pool facility
0,the mattress is too soft when sleeping the whole person sink not easy to sleep
0,the room is not clean
0,breakfast customer service did not arrange the position properly we sat down to be prepared to dine by the empty table but wa blamed by other customer to take up his position we are deeply helpless
0,the window view is very poor the window of the same building is very close to the window the curtain can only be closed tightly there are large crack in the washing table the door frame is very thick it is estimated that it is not cleaned for more than year
0,the room facility are not perfect and inspection and maintenance lack of inspection and maintenance
0,it took time to check in
0,water leak into the washbasin from the shower room
0,the dusty cleaning is not well cleaned mold in the bathroom
0,the refrigerator is dirty
0,the room smell mold
0,i felt a dark impression overall because the hotel and room were large
0,aircond is not cold
0,a dirty room
0,flooded toilet
0,expensive price do not fit the quality
0,lacking a variety of food
0,no bathtub in bathroom
0,my bathroom smell not tap wa not smooth in it flow droplet of spray kept spraying on me
0,the room assigned to me wa facing another block no view
0,the lift can get congested especially during peak hour
0,we have to wait very long for our room we booked room and the rd room wa ready only at pm
0,had trouble holding our table at breakfast kept being cleared and people sitting when away getting food
0,the fridge not cold
0,seafood buffet seafood not fresh
0,the sink in the toilet wa blocked
0,the parking lot wa too high
0,it is not adjacent to the city so you have to go to a taxi
0,at am prayer broadcasting ring all the way throughout the neighborhoodif you have to get up at am you will not need an alarm
0,smell
0,mold
0,there were not many korean with short breakfast
0,wi fi is not good the gym is too dirty and the pool is not managedemployees are also very unkind
0,it wa hard to breathe because there wa a lot of dust in the room
0,at dawn it wa noisy in the hallway
0,after the equipment or facility it is necessary to maintain
0,toilet toilet furniture kitchen cleaning is not well cleaned
0,the sound of the next room is heard welloverall
0,aging
0,breakfast is not good and ha no advantagesnot recommended
0,aircond wa leaking water onto the bed
0,we had something stolen from our room
0,smelly room bad smell on toilet the water is stuck and not flowing out on shower time room and picture is different this hotel room really smelly like trash bin and drain
0,there wa a weird smell in the lift and the rooftop bar wa closed everytime
0,the air conditioning in the lobbycafe wa too cold for comfort so sitting there wa not good
0,the sound proofing is a little under expectation might be due to the heavy door we are not spared from the banging door during the night
0,my room wa on the top floor overlooking the courtyard it could be quite noisy with street traffic and movie in the courtyard it wa also the last to get serviced
0,small place for breakfast cramp at food collection area have to wait for seat distance between the table quite close
0,there we stain on the blanket no hot water in my shower water did not flow properly in the shower area and caused the shower area flooded
0,the smell of the drain in the bathroom wa terrible
0,i stayed on the th floor but there wa ant
0,there is no tissue in the room conditioner
0,the tableware is too beautiful
0,cleaning is rough i saw nine bug
0,availability of pool towel wa very limited
0,needed to wait for the lift a little longer due to the overcrowding
0,the service wa not terrible and we are surprised with some extra fee tourism fee luggage storage etc
0,it wa a bit isolated there were no local eating place nearby
0,they only give you one key despite the amount of people in the room and that wa very inconvenient
0,there wa no internet the whole first day until only the second day
0,shortage of manpower at night
0,rice served wa not hot and it is hard
0,the staff switched off the light for half the dining hall when there were about patron eating there
0,i noticed they did not mop the floor there were some coffee stain etc from previous patron i guess
0,sadly to say that the material of the towel wa super bad the fibre of the towel wa super bad quality where it keep coming out like dust
0,no potter service to assist with luggage
0,the whole hotel stink and even when i wa sleeping it smelled like sewage
0,poor check in efficiency a though checked in at pm but room were only ready at pm
0,the room set up wa much simpler than the promotional picture with that rate it wa not really valued for money
0,staff cleaner wa too loud when they talk can hear the echo
1,overall ok but can put some western food chinese sector need change like more local food like chicken rice fried kway teow hokkien mee carrot cake cheong fun
1,i hope you could get rid the musty smell in the lift maybe with some lemongrass smell aside all is good
1,it is a fairly crowded hotel and during breakfast it could be a long wait at certain meal counter but overall the food wa good
1,breakfast buffet need to improve staff appy wa always smiling which is welcoming
1,it wa hard for my elderly mum to get into the jacuzzi a there wa no built in step but there are handrail to help it wa a bit cold in the cafe and massage area it doe not need to be below degree everything else wa epic
1,staff wa friendly hotel wa nice nice cooky given at reception no welcome drink
1,the hotel is okay nothing special
1,can upgrade more on lift management and system
1,the location is convenient but the street noise can be bothersome at night
1,our room had a breathtaking ocean view but the balcony furniture wa a bit worn
1,the bathroom ha a luxurious rain shower yet the space is a bit tight
1,the hotel offer a convenient airport shuttle but the service run only a few time a day
1,the coffee maker in the room is useful but you need to buy your own pod
1,laundry service are efficient though a bit expensive
1,taxi service provided by the hotel are convenient but the fare are relatively high
1,the location is fantastic right in the heart of the city however the room wa smaller than expected
1,great breakfast selection but the coffee could be better
1,the checkin process wa smooth but the room wa not ready until an hour after the advertised time
1,wifi wa free and reliable but only in the lobby area
1,our room had a nice view but the window were dirty
1,the minibar wa wellstocked though the price were quite high
1,housekeeping did a good job but they forgot to replace the towel one day
1,good location near tourist attraction but the area felt a bit unsafe at night
1,it would be even better if the dry washing machine wa installed
1,the room had convenient facility but the layout of the room wa a little inconvenient
1,the location of the hotel wa convenient but i wa worried about the noise around me
1,the hotel pool wa clean and comfortable but it wa crowded
1,the parking lot of the hotel wa spacious and convenient but the price wa high
1,there wa a minibar in the hotel room but the price wa high
1,the wifi connection in the guest room wa stable but the speed wa slow
1,the hotel sauna wa clean and comfortable but there wa a time limit
1,the location of the hotel wa convenient but there were few sightseeing spot around me
1,there wa a comfortable bed in the room but i wa a little worried about the hardness of the pillow
1,the internet connection of the hotel wa fast but the connection wa unstable in some area
1,the menu of the restaurant wa diverse but the taste of the dish wa mediocre
1,the hotel staff wa kind but the check in wa crowded
